一 一壹
曇 昙
曉 晓
曖 暧
曙 曙
曜 曜耀
曝 曝
曠 旷
曦 曦
曩 曩
曰 曰
曲 曲
曳 曳拽
更 更
曵 曳
曷 曷
書 书
曹 曹
曼 曼
曽 曾
曾 曾
替 替
最 最
會 会
月 月
有 有
朋 朋
服 服
朔 朔
朕 朕
朖 朗
朗 朗
望 望
朝 朝晁
朞 期
期 期逞
朦 朦蒙
朧 胧
木 木
未 未
末 末
本 本
札 札
朮 术
朱 朱
朴 朴
朶 朵
机 机
朽 朽
杆 杆
杉 杉
李 李
杏 杏
材 材
村 村
杓 杓捉
杖 杖
杜 杜
杞 杞
束 束
杠 杠
条 条
来 来徕
杪 杪
杭 杭
杯 杯
杰 杰
東 东
杲 杲
杳 杳
杵 杵
杷 杷
杼 杼
松 松
板 板版
枇 枇
枉 枉
枋 枋
析 析
枕 枕
林 林
枚 枚
果 果
枝 枝
枢 枢
枦 栌
枩 松
枯 枯
枳 枳
枴 拐
架 架
枷 枷
枸 枸
柁 柁舵
柄 柄
柆 拉
柏 柏孛
某 某厶
柑 柑
染 染
柔 柔
柘 柘
柚 柚
柝 柝
柞 柞
柢 柢
柩 柩
柬 柬拣
柯 柯
柱 柱
柳 柳柽
柴 柴茈
柵 栅
査 查
柾 柩
柿 柿
栄 荣
栓 栓
栖 栖
栗 栗
校 校
栢 柏孛
栩 栩
株 株
栲 栲
核 核
根 根
格 格
栽 栽
桀 桀
桁 桁航
桂 桂
桃 桃
框 框
案 案
桎 桎
桐 桐
桑 桑
桓 桓
桔 桔
桜 樱
桟 栈
档 档
桧 桧
桴 桴
桶 桶
桷 桷
桿 杆
梁 梁
梃 梃
梅 梅
梏 梏
梓 梓
梔 栀
梗 梗
條 条粜
梟 枭
梢 梢
梦 梦
梧 梧
梨 梨
梭 梭
梯 梯
械 械
梳 梳
梵 梵
梹 槟
梺 麓
棄 弃
棉 棉
棊 棋
棋 棋
棍 棍
棒 棒
棕 棕
棗 枣
棘 棘
棚 棚
棟 栋
棠 棠
棣 棣
棧 栈
森 森
棲 栖
棹 棹桌卓
棺 棺
椀 碗
椁 椁
椅 椅
椋 椋
植 植
椎 椎槌
椏 桠
椒 椒茭
検 检
椰 椰
椴 椴
椶 棕
椹 椹葚
椽 椽
椿 椿
楊 杨
楓 枫
楔 楔
楕 椭
楙 茂
楚 楚
楜 胡
楝 楝
楞 楞棱
楠 楠
楡 榆
楫 楫
業 业
楮 楮
楳 梅
極 极
楷 楷
楸 楸
楹 楹
楼 楼
楽 乐
概 概
榔 榔
榕 榕
榛 榛亲
榜 榜
榧 榧
榮 荣
榱 榱
榴 榴
榻 榻
榿 桤
槁 槁
槃 盘
槊 槊
構 构
槌 槌棰椎
槍 枪
槎 槎楂
槐 槐
槓 杠
様 样
槞 栊
槧 椠
槨 椁
槭 槭
槲 槲
槻 规
槽 槽
槿 槿
樂 乐
樅 枞
樊 樊
樓 楼
樗 樗
標 标
樞 枢
樟 樟
模 模
樣 样
権 权
横 横
樵 樵
樸 朴
樹 树
樺 桦
樽 樽节
橄 橄
橇 橇鞒
橈 桡
橋 桥
橘 橘
橙 橙
機 机
橡 橡
橢 椭
橦 幢
檀 檀
檄 檄
檎 檎
檐 檐
檗 檗蘖
檜 桧栝
檠 檠
檢 检
檣 樯
檪 栎
檬 檬
檳 槟
檸 柠
檻 槛
櫂 棹掉
櫃 柜匮馈
櫓 橹
櫚 榈
櫛 栉
櫞 橼
櫟 栎
櫨 栌
櫪 枥
櫺 棂
櫻 樱
欄 栏
欅 榉
權 权
欒 栾滦
欖 榄
欝 郁
欠 欠缺
次 次
欣 欣忻
欧 欧
欲 欲
欷 欷
欸 唉
欹 欹猗
欺 欺
欽 钦
款 款
歃 歃
歇 歇
歉 歉欠
歌 歌
歎 叹
歐 欧
歓 欢
歙 歙
歛 敛
歟 欤
歡 欢
止 止只
正 正
此 此
